video_id,channel_id,published_at,status,last_polled_at,next_poll_at,current_interval_hours,created_at,thumbnail_url,title,description,tags,category_id,duration,discovery_lag_h,first_scrape_at,last_scrape_at,true_first_age_h,true_last_age_h
_-cNKYTtz8k,UCiOEgWwAKbfrVb795hqQc9A,2026-07-27 13:45:36+00:00,active,2026-08-17 17:35:26.503423+00,2026-08-17 18:35:26.503423+00,1.0,2026-07-27 15:11:23.493555+00:00,https://i.ytimg.com/vi/_-cNKYTtz8k/maxresdefault.jpg,"අපේ මහන්සිම දවසක් 🤧😔 සම්පුර්න දවසම car, business,පාරේ 😞Our Most Tiring Day Ever! 😩 | VLOG 189","✅ We Didn’t Expect This… | Our Most Tiring Day Vlog🤧😔

✅VLOG 189

✅ skin care ඉල්ලපු කෙල්ලන්‍ට වීඩීයෝ එකේ පෙන්නුපු page එක = https://www.tiktok.com/@kikiceylon?_r=1&_t=ZS-98Ns8CsyZpl

❤‍🔥 ඉස්සරහට ඕනා vlogs පහලින් comment කරන් යන්න හොදේ 😁 ආදරෙයි ආදරෙයි ගොඩාරියක්❤

________________________________________________
⛔ Whatspp Chanel එක = https://whatsapp.com/channel/0029Va5VqdlKWEL0NZNdSX03

⛔ Facebook = https://www.facebook.com/profile.php?id=61552008474724&mibextid=ZbWKwL

⛔ instagram = https://www.instagram.com/invites/contact/?i=17g08s1o09ivq&utm_content=meuwc96

⛔ Tiktok = https://www.tiktok.com/@heshan_technic?_t=8eL2n7gGXCM&_r=1

🔖 Thanks for Watching...

  #youtuber #life #day #buisness","[""Our most tiring day"",""day vlog"",""bussy day in our life"",""life is the best gift"",""heshan pets"",""our dogs"",""heshan wife"",""heshan vlog life"",""heshan home"",""our most tiring day"",""our most exhausting day"",""daily vlog"",""couple vlog"",""couple lifestyle"",""life vlog"",""vlog"",""cinematic vlog"",""busy day"",""productive day"",""real life vlog"",""a day in our life"",""our daily life"",""vlogging"",""youtube vlog"",""sinhala vlog"",""funny couple"",""weekend vlog"",""stressful day"",""tiring day vlog"",""sinhala srilanka""]",24.0,PT1H2M37S,1.4298593208333334,2026-07-27 15:15:23.591777+00:00,2026-08-15 11:30:36.127709+00:00,1.4965532713888887,453.7500354747222
_10bZYYhFMw,UCckltLEhFLv8Xz_lQhYfwmg,2026-08-03 02:34:09+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-03 03:51:57.327570+00:00,https://i.ytimg.com/vi/_10bZYYhFMw/maxresdefault.jpg,"හේමසිරිට, පූජිත්ට වගේම රවි, ශානි දෙදෙනාටත් දඬුවම් හිමිවිය යුතුයි - Hiru News","හේමසිරිට, පූජිත්ට වගේම රවි, ශානි දෙදෙනාටත් දඬුවම් හිමිවිය යුතුයි - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts","[""hiru news"",""hiru tv"",""hiru tv news"",""hiru news live"",""hiru tv news live"",""hiru news today"",""හිරු"",""හිරු ප්‍රවෘත්ති"",""හිරු නිවුස්"",""hiru news 11.55"",""hiru news 6.55"",""hiru news 9.55"",""breaking news"",""latest news"",""sri lanka news"",""sinhala news"",""english news"",""HiruMedia"",""News 2024""]",25.0,PT1M20S,1.2967576583333333,2026-08-03 03:55:19.305277+00:00,2026-08-15 11:50:20.593489+00:00,1.3528625769444445,297.2698870802778
_2BU_Kt3hQY,UCckltLEhFLv8Xz_lQhYfwmg,2026-08-06 03:24:05+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-06 03:33:25.199936+00:00,https://i.ytimg.com/vi/_2BU_Kt3hQY/maxresdefault.jpg,රජයේ රෝහල්වල දරුවන්ට ඩෙංගු එන්නත් අකැපද?  - Hiru News,"රජයේ රෝහල්වල දරුවන්ට ඩෙංගු එන්නත් අකැපද? අනුමැතිය පෞද්ගලික රෝහල්වලට පමණයි එක් මාත්‍රාවක් රු 30,000ක් - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts","[""hiru news"",""hiru tv"",""hiru tv news"",""hiru news live"",""hiru tv news live"",""hiru news today"",""හිරු"",""හිරු ප්‍රවෘත්ති"",""හිරු නිවුස්"",""hiru news 11.55"",""hiru news 6.55"",""hiru news 9.55"",""breaking news"",""latest news"",""sri lanka news"",""sinhala news"",""english news"",""HiruMedia"",""News 2024""]",25.0,PT50S,0.15561109333333334,2026-08-06 03:35:19.007037+00:00,2026-08-15 11:50:20.593489+00:00,0.18722417694444443,224.43766485805554
_3TDynXdrm8,UCrjQG1gLZ4cDwIzrGA5pRBw,2026-08-05 13:30:06+00:00,active,2026-08-17 18:02:53.222663+00,2026-08-17 19:02:53.222663+00,1.0,2026-08-05 14:31:03.256861+00:00,https://i.ytimg.com/vi/_3TDynXdrm8/sddefault.jpg,"උදේ කෑමට සවු,කජු,රටකජු,කුරක්කන් පිටි එක්ක සවුකැද😋👌බලන්නකො.#සවුකැද #cooking #cook #yousee #virel ",,,22.0,PT18M36S,1.015904683611111,2026-08-05 14:35:26.343957+00:00,2026-08-15 11:30:36.127709+00:00,1.0889844325,238.00836880805556
_43Y84vD58c,UCgnFSj7jQffD5V5m05j4dPw,2026-08-09 12:44:32+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-09 13:13:32.042399+00:00,https://i.ytimg.com/vi/_43Y84vD58c/maxresdefault.jpg,150ට උඩින් ලකුණු තියෙනවා,"#LKA #News1st #SL #grade05scholarship
Newsfirst.lk is a leading news website in Sri Lanka that provides a wide range of news and information on current events, politics, sports, weather, exams, business, entertainment, and world news. The website is known for its comprehensive coverage of breaking news and top stories from around the country and is a reliable source of up-to-date news and information. In addition to its news coverage, Newsfirst.lk also offers a variety of features and multimedia content, including video reports, podcasts, and photo galleries. Overall, Newsfirst.lk is an excellent resource for staying informed about the latest developments in Sri Lanka and around the world.


👉 Facebook Channel: https://m.me/j/AbaQ5X0ZEJrNW3q2/
👉 Whatsapp Channel එකට එකතු වෙන්න https://news1st.lk/WhatsappChannel
👉 Subscribe us: https://www.youtube.com/NewsFirstSrilanka

👉 JOIN US 
📌 Whatsapp - https://news1st.lk/whatsappg9
📌 Telegram - https://news1st.lk/Telegram  
📌 Viber - https://news1st.lk/viber  

👉 FOLLOW US    
📌Instagram - https://news1st.lk/instagram 
📌Youtube - https://news1st.lk/youtube 
📌Twitter - https://news1st.lk/twitter 
📌Tiktok - https://news1st.lk/tiktok 
📌Facebook - https://news1st.lk/facebook



Web: www.newsfirst.lk
Email: contact@newsfirst.lk
Telephone: +94 114792700

#News1st #SirasaTV #SirasaNews #BreakingNews #NewsLive #NewsfirstDigital #WithThePeople #NewsAtSeven #NewsAtTen  #WeReportYouDecide","[""breaking news sri lanka"",""cricket sri lanka"",""English news"",""Investigative journalism"",""Live streaming"",""sirasa news"",""sirasa tv"",""sri lanka"",""Sri Lanka news"",""Sri Lanka politics"",""Sri Lanka sports"",""TV news"",""ලංකා නිවුස්"",""ශ්‍රී ලංකා ප්‍රවෘත්ති"",""සිංහල නිව්ස්"",""news1st"",""Newsfirst Sri Lanka"",""Breaking News"",""Sri Lanka News Today"",""Sri Lanka News Live"",""Sri Lanka News Sinhala""]",22.0,PT15S,0.4833451108333333,2026-08-09 13:15:21.031591+00:00,2026-08-15 11:50:20.593489+00:00,0.5136198863888889,143.09683152472223
_bMD1iVJq8Y,UCCK3OZi788Ok44K97WAhLKQ,2026-08-10 02:07:29+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-10 02:31:32.300286+00:00,https://i.ytimg.com/vi/_bMD1iVJq8Y/maxresdefault.jpg,දෙරණ සිග්නල් ජාත්‍යන්තර සරුංගල් සැණකෙළියෙන් පසු - පිරිසිදු වන ගාලු මුවදොර | Ada Derana,"Ada Derana | ශ්‍රී ලංකාවේ විශ්වසනීය හා ප්‍රමුඛතම පුවත් සපයන්නා

#AdaDerana #News #SriLankaNews #LatestNews #DeranaNews #TVDerana #TrendingNews #ViralNews #SriLanka #SLnews","[""AdaDerana"",""News"",""TvDerana"",""Sri Lanka"",""Colombo News"",""sri lanka news"",""news today"",""news derana"",""news ada derana"",""ada derana news"",""news sri lanka"",""news now"",""adaderananews"",""ada derana"",""latest news"",""derana news"",""today news"",""2026""]",25.0,PT2M13S,0.4009167461111111,2026-08-10 02:35:19.398658+00:00,2026-08-15 11:50:20.593489+00:00,0.46399962722222227,129.7143315247222
_e4VZET6IgY,UCckltLEhFLv8Xz_lQhYfwmg,2026-08-03 02:10:44+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-03 03:51:57.327570+00:00,https://i.ytimg.com/vi/_e4VZET6IgY/maxresdefault.jpg,දිවයිනට තද වැසි: ගංවතුර සහ නායයෑම් අනතුරු ඇඟවීම් නිකුත් කෙරෙයි! - Hiru News,"දිවයිනට තද වැසි: ගංවතුර සහ නායයෑම් අනතුරු ඇඟවීම් නිකුත් කෙරෙයි!
නුවරඑළිය - හැටන් පාසල් අවශ්‍යතාව පරිදි වසා තැබීමටත් පියවර - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts","[""hiru news"",""hiru tv"",""hiru tv news"",""hiru news live"",""hiru tv news live"",""hiru news today"",""හිරු"",""හිරු ප්‍රවෘත්ති"",""හිරු නිවුස්"",""hiru news 11.55"",""hiru news 6.55"",""hiru news 9.55"",""breaking news"",""latest news"",""sri lanka news"",""sinhala news"",""english news"",""HiruMedia"",""News 2024""]",25.0,PT3M51S,1.6870354361111113,2026-08-03 03:55:19.305277+00:00,2026-08-15 11:50:20.593489+00:00,1.7431403547222224,297.66016485805557
_EJKZgfQvNE,UCckltLEhFLv8Xz_lQhYfwmg,2026-08-05 13:18:13+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-05 14:31:03.256861+00:00,https://i.ytimg.com/vi/_EJKZgfQvNE/maxresdefault.jpg,''ඕගොල්ලා හිතන් හිටියා රනිල්ගේ බයිලා අහලා අපි එල් බෝඩ් කියලා''  - Hiru News,"''ඕගොල්ලා හිතන් හිටියා රනිල්ගේ බයිලා අහලා අපි එල් බෝඩ් කියලා''  - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts","[""hiru news"",""hiru tv"",""hiru tv news"",""hiru news live"",""hiru tv news live"",""hiru news today"",""හිරු"",""හිරු ප්‍රවෘත්ති"",""හිරු නිවුස්"",""hiru news 11.55"",""hiru news 6.55"",""hiru news 9.55"",""breaking news"",""latest news"",""sri lanka news"",""sinhala news"",""english news"",""HiruMedia"",""News 2024""]",25.0,PT52S,1.2139602391666666,2026-08-05 14:35:26.343957+00:00,2026-08-15 11:50:20.593489+00:00,1.2870399880555556,238.53544263583333
_EWGA9g4MSs,UCckltLEhFLv8Xz_lQhYfwmg,2026-08-04 13:02:12+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-04 14:37:44.711046+00:00,https://i.ytimg.com/vi/_EWGA9g4MSs/maxresdefault.jpg,LIVE 🔴 Parliament Live | පාර්ලිමේන්තු විවාදය සජීවීව | 2026-08-04,"LIVE 🔴 Parliament Live | පාර්ලිමේන්තු විවාදය සජීවීව | 2026-08-04

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts","[""hiru news"",""hiru tv"",""hiru tv news"",""hiru news live"",""hiru tv news live"",""hiru news today"",""හිරු"",""හිරු ප්‍රවෘත්ති"",""හිරු නිවුස්"",""hiru news 11.55"",""hiru news 6.55"",""hiru news 9.55"",""breaking news"",""latest news"",""sri lanka news"",""sinhala news"",""english news"",""HiruMedia"",""News 2024""]",25.0,PT8H34M1S,1.592419735,2026-08-04 14:39:53.977088+00:00,2026-08-15 11:50:20.593489+00:00,1.6283269688888888,262.80238708027775
_FjxYH9jhow,UCCK3OZi788Ok44K97WAhLKQ,2026-08-06 13:18:19+00:00,active,2026-08-17 17:40:34.065725+00,2026-08-17 18:40:34.065725+00,1.0,2026-08-06 14:32:55.540381+00:00,https://i.ytimg.com/vi/_FjxYH9jhow/maxresdefault.jpg,සද්ද නැතුව කපපු ගස් ටික..| Ada Derana,"සද්ද නැතුව කපපු ගස් ටික..
''කේස් එක ලීක් වුණාම මුල් ටික සොහොනේ වළලලා""

Ada Derana | ශ්‍රී ලංකාවේ විශ්වසනීය හා ප්‍රමුඛතම පුවත් සපයන්නා

#AdaDerana #News #SriLankaNews #LatestNews #DeranaNews #TVDerana #TrendingNews #ViralNews #SriLanka #SLnews","[""AdaDerana"",""News"",""TvDerana"",""Sri Lanka"",""Colombo News"",""sri lanka news"",""news today"",""news derana"",""news ada derana"",""ada derana news"",""news sri lanka"",""news now"",""adaderananews"",""ada derana"",""latest news"",""derana news"",""today news"",""2026""]",25.0,PT55S,1.2434834391666667,2026-08-06 14:35:27.315007+00:00,2026-08-15 11:50:20.593489+00:00,1.2856430575,214.53377596916667
